ID,City_Project,type,description,proposer,project_address,Date_created,meeting_event,link,Map coordinates,Up Votes,Down Votes,Population,Percent
1,"Official Map Amendment Application #2011I-00011, 2150 Downing Street, from PUD #349 to PUD-G.",City Proposal,"Build a gas station on the southeast corner of the intersection of S Downing and E 
Evans.","Chris Gleissner, CPD-Planning Services",S Downing and E,9/28/2012,"Wednesday, June 5, 2013, 3:00 p.m.                 Webb Municipal Office Building
201 West Colfax Avenue, Room 4.F.6/4.G.2",http://www.denvergov.org/Portals/646/documents/rezoning/11%20i/00011/11I-00011%20PB%20Staff%20Report%20Packet%20060513.pdf,"39.678504,-104.973417",957,964,42216,4.550407428
2,"Official Map Amendment Application #2013I-00008, 1300 S. Sheridan, from PUD to E-MX-3.",City Proposal,"Add a drive-thru to resturant on the east side of South Sheridan Boulevard 
between Louisiana Avenue and Wyoming Place.","Sarah Showalter, CPD-Planning Services",Evans,7/11/2012,"Wednesday, June 5, 2013, 3:00 p.m.                 Webb Municipal Office Building
201 West Colfax Avenue, Room 4.F.6/4.G.2",http://www.denvergov.org/Portals/646/documents/rezoning/13i/00008/2013I-00008%20PB%20Staff%20Report%20Packet%20052913.pdf,"39.69317,-105.053191",586,867,57946,2.507506989
3,9th and Colorado Urban Redevelopment Plan,City Proposal,"Redevelopment of University of Colorado medical campus to encourage sustainable residential, retail and commercial development","Tracy Huggins, Denver Urban Renewal Authority",9th and Colorado,2/22/2013,"Wednesday, June 5, 2013, 3:00 p.m.                 Webb Municipal Office Building
201 West Colfax Avenue, Room 4.F.6/4.G.2",http://www.denvergov.org/Portals/646/documents/Planning%20Board/DURA/RDV_9th%20%20CO_Planning%20Board_URP%20approval_tmh_jh_05_28_13.pdf,"39.731038,-104.940763",52,627,54506,1.245734415
4,South Platte River Corridor Study,City Proposal,This project aims to encourage economic development and community revitalization along the South Platte River in Denver,"Courtland Hyser & Tim Watkins, CPD-Planning Services",South Platte River Corridor,5/1/2013,"Wednesday, June 5, 2013, 3:00 p.m.                 Webb Municipal Office Building
201 West Colfax Avenue, Room 4.F.6/4.G.2",http://www.denvergov.org/cpd/CommunityPlanningandDevelopment/PlanningandDesign/PlansinProgress/SouthPlatteCorridorStudy/tabid/442983/Default.aspx,"39.748642,-105.015907",320,80,54124,0.739043677
5,Improve functioning of street lights on 7th and Auraria Parkway,Public proposal,Inefficient organisation of flow through the intersecton. Pedestrians complain on long waiting times.,Mr. A,7th and Auraria Parkway,5/10/2013,not scheduled yet,,"39.745145,-105.009585",5,774,66723,1.167513451
6,Add bus route to 10th and Delaware,Public proposal,Area residents walk 1 mile to the nearest bus station,Mrs. B,10th and Deleware,4/14/2013,not scheduled yet,,"39.737567,-104.984718",218,158,79087,0.475425797
7,Add 4-way Stop Sign to 10th and Ogden,Public proposal,Cars have no stop sign but often stop anyway causing traffic confusion,Mr. C,10th and Ogden,1/22/2013,not scheduled yet,,"39.732044,-104.975272",198,394,85479,0.692567765
8,Add barrier between sidewalk and road on 13th street,Public proposal,Sidewalk is dangerously close to a 3 lane 35mph road.,Ms. D,13th and Washington,5/23/2013,not scheduled yet,,"39.736877,-104.978718",619,189,78230,1.032851847
9,Cheeseman park dog park,Public proposal,With so many pets in Capitol hill I feel we need a dogpark to accomodate them all,Mr. E,Cheeseman Park,2/17/2013,not scheduled yet,,"39.733,-104.966555",119,894,85999,1.177920673
10,Bad smell from a Cherry creek,Public proposal,Investigate a source of bad smell along cherry creek,Mr. F,Denver Country Club,4/5/2013,not scheduled yet,,"39.76042,-105.004089",159,299,60074,0.762393049
11,More benches in Cheesman park,Public proposal,Provide more benches along paths in Cheesman park,Mr. G,Cheesman Park,1/3/2013,not scheduled yet,,"39.735723,-104.967606",246,16,81731,0.320563801
12,Additional Lighting to Colfax,Public proposal,"My neighborhood is too dark at night, I get scared walking home late!",Mrs. H,Colfax and Downing,3/23/2013,not scheduled yet,,"39.739979,-104.973088",621,218,86061,0.974889904
13,15th Street Bikeway Update,City proposal,Designing an innovative bike facility from Cleveland Place to Larimer Street along 15th Street,Mr. I,Cleveland Place to Larimer Street along 15th Street,2/22/2013,,http://www.denvergov.org/BicyclinginDenver/Newsroom/tabid/438236/newsid493569/7473/mid/493569/Default.aspx,"39.74941,-105.000077",312,352,69814,0.951098634
14,Colfax Corridor Connections,City proposal,"Colfax Corridor Connections is a project that will study mobility needs and identify transit and other multimodal improvements, including bicycle, pedestrian and vehicular, within the East Colfax travel corridor",Mr. J,East Colfax,6/10/2012,,http://www.denvergov.org/infrastructure/DenverPublicWorksPolicyandPlanning/CurrentProjects/ColfaxStreetcarFeasibilityStudy/tabid/442752/Default.aspx,"39.745441,-104.990073",962,854,77380,2.346859654
15,Denver Livability Partnership,City proposal,"expand permanent affordable housing, improve access to jobs and create better multi-modal connectivity along Denver’s transit corridors",Mr. K,Denver,4/1/2012,,http://www.denvergov.org/tod/TransitOrientedDevelopment/DenverLivabilityPartnership/tabid/438465/Default.aspx,"39.746774,-104.991798",810,998,74923,2.413144161
